id	timestamp	cpu	generation	output_order	OS	Xprocess_architecture	framework	os_category
636984839017299086	2019/07/11 23:18:21 +09:00	Xeon E3-1230 V2	Sandy Bridge	1	Windows 10.0.17763 	X64	.NET Core 4.6.27817.03	Windows
636983495364866973	2019/07/10 9:58:56 +09:00	i5-3337U	Ivy Bridge	2	Windows 10.0.18362 	X64	.NET Core 4.6.27617.05	Windows
636983600393743289	2019/07/10 12:53:59 +09:00	i7-3770	Ivy Bridge	3	Windows 10.0.17763 	X64	.NET Core 4.6.27414.05	Windows
636983078990228822	2019/07/09 22:24:59 +09:00	i7-3770K	Ivy Bridge	4	Windows 10.0.18362 	X64	.NET Core 4.6.27617.05	Windows
636983533905992017	2019/07/10 11:03:10 +09:00	Celeron 2957U	Haswell	5	Windows 10.0.17134 	X64	.NET Core 4.6.27617.05	Windows
636983493474057592	2019/07/10 9:55:47 +09:00	i5-4200U	Haswell	6	Windows 10.0.18362 	X64	.NET Core 4.6.27617.05	Windows
636983502728522019	2019/07/10 10:11:12 +09:00	i3-6006U	Skylake	7	Windows 10.0.17134 	X64	.NET Core 4.6.27617.05	Windows
636984849664118215	2019/07/11 23:36:06 +09:00	i7-6700HQ	Skylake	8	Windows 10.0.17134 	X64	.NET Core 4.6.27617.05	Windows
636983528573952372	2019/07/10 10:54:17 +09:00	i5-7200U	Kaby Lake	9	Windows 10.0.17134 	X64	.NET Core 4.6.27617.05	Windows
636983587969931511	2019/07/10 12:33:16 +09:00	i5-7600	Kaby Lake	10	Windows 10.0.18362 	X64	.NET Core 4.6.27414.05	Windows
636982990908876940	2019/07/09 19:58:10 +09:00	i7-8086K	Coffee Lake	11	Windows 10.0.18362 	X64	.NET Core 4.6.27414.05	Windows
636982929186927002	2019/07/09 18:15:18 +09:00	Ryzen 7 1700X	Zen	12	Windows 10.0.18362 	X64	.NET Core 4.6.27617.05	Windows
636984750609976297	2019/07/11 20:51:00 +09:00	i7-3770K	Ivy Bridge	13	Linux 4.4.0-18362-Microsoft	X64	.NET Core 4.6.27817.03	Linux
636983273841131615	2019/07/10 3:49:44 +09:00	Xeon E5-2690 v3	Haswell	14	Linux 4.15.0	X64	.NET Core 4.6.27317.07	Linux
636983910587710463	2019/07/10 21:30:58 +09:00	Cerelon N3450	Apollo Lake	15	Linux 4.19.26	X64	.NET Core 4.6.27617.05	Linux
636983269946679934	2019/07/10 3:43:14 +09:00	i7-9700K	Coffee Lake Refresh	16	Linux 4.15.0	X64	.NET Core 4.6.27617.05	Linux
636984752297422290	2019/07/11 20:53:49 +09:00	Ryzen 7 1700X         	Zen	17	Linux 4.4.0-18362-Microsoft 	X64	.NET Core 4.6.27817.03	Linux
636984745058897468	2019/07/11 20:41:45 +09:00	Ryzen 7 1700X         	Zen	18	Linux 4.4.0-18362-Microsoft	X64	.NET Core 4.6.27617.05	Linux
636985125015023445	2019/07/12 7:15:01 +09:00	Graviton	Graviton	19	Linux 4.15.0-1043-aws	Arm64	.NET Core 4.6.27817.03	Linux
636983853402321720	2019/07/10 19:55:40 +09:00	i7-7567U	Kaby Lake	20	Darwin 18.6.0	X64	.NET Core 4.6.27617.05	OSX
636983627658772890	2019/07/10 13:39:25 +09:00	i5-8500B	Coffee Lake	21	Darwin 18.6.0	X64	.NET Core 4.6.27817.03	OSX
636987480584304540	2019/07/15 0:40:58 +09:00	i7-9750H	Coffee Lake Refresh	22	Darwin 18.6.0	X64	.NET Core 4.6.27617.05	OSX
636983495478558317	2019/07/10 9:59:07 +09:00	i5-3337U	Ivy Bridge	23	Windows 10.0.18362 	X86	.NET Core 4.6.27617.05	Windows
636983079051190855	2019/07/09 22:25:05 +09:00	i7-3770K	Ivy Bridge	24	Windows 10.0.18362 	X86	.NET Core 4.6.27617.05	Windows
636983533979634670	2019/07/10 11:03:17 +09:00	Celeron 2957U	Haswell	25	Windows 10.0.17134 	X86	.NET Core 4.6.27617.05	Windows
636983493544922129	2019/07/10 9:55:54 +09:00	i5-4200U	Haswell	26	Windows 10.0.18362 	X86	.NET Core 4.6.27617.05	Windows
636983502811228950	2019/07/10 10:11:21 +09:00	i3-6006U	Skylake	27	Windows 10.0.17134 	X86	.NET Core 4.6.27617.05	Windows
636983528623156983	2019/07/10 10:54:22 +09:00	i5-7200U	Kaby Lake	28	Windows 10.0.17134 	X86	.NET Core 4.6.27617.05	Windows
636982929230689835	2019/07/09 18:15:23 +09:00	Ryzen 7 1700X	Zen	29	Windows 10.0.18362 	X86	.NET Core 4.6.27617.05	Windows
23	2019/07/15	lang c	clang	30	lang C clang	x64	N/A	Linux
42	2019/07/15	lang c	gcc	31	lang C gcc	x64	N/A	Linux
