s_env	Xeon E3-1230 V2(Sandy Bridge)	i5-3337U(Ivy Bridge)	i7-3770(Ivy Bridge)	i7-3770K(Ivy Bridge)	Celeron 2957U(Haswell)	i5-4200U(Haswell)	i3-6006U(Skylake)	i7-6700HQ(Skylake)	i5-7200U(Kaby Lake)	i5-7600(Kaby Lake)	i7-8086K(Coffee Lake)	Ryzen 7 1700X(Zen)
Xeon E3-1230 V2(Sandy Bridge)	ー	○	○	○	○	×	×	×	×	×	×	×
i5-3337U(Ivy Bridge)	○	ー	○	○	○	×	×	×	×	×	×	×
i7-3770(Ivy Bridge)	○	○	ー	○	○	×	×	×	×	×	×	×
i7-3770K(Ivy Bridge)	○	○	○	ー	○	×	×	×	×	×	×	×
Celeron 2957U(Haswell)	○	○	○	○	ー	×	×	×	×	×	×	×
i5-4200U(Haswell)	×	×	×	×	×	ー	○	○	○	○	○	○
i3-6006U(Skylake)	×	×	×	×	×	○	ー	○	○	○	○	○
i7-6700HQ(Skylake)	×	×	×	×	×	○	○	ー	○	○	○	○
i5-7200U(Kaby Lake)	×	×	×	×	×	○	○	○	ー	○	○	○
i5-7600(Kaby Lake)	×	×	×	×	×	○	○	○	○	ー	○	○
i7-8086K(Coffee Lake)	×	×	×	×	×	○	○	○	○	○	ー	○
Ryzen 7 1700X(Zen)	×	×	×	×	×	○	○	○	○	○	○	ー
